Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily 1 (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-93.6,22.33,-90.2,26.67"
Data Bounding Box:,"-93.5,22.5,-90.5,26.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-93.6,22.33,-90.2,26.67&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2004-04-15,13.0032806
2004-04-16,14.8302822
2004-04-17,14.9126453
2004-04-18,17.7941513
2004-04-19,23.046875
2004-04-20,20.604351
2004-04-21,28.6727219
2004-04-22,29.9043293
2004-04-23,34.4100952
2004-04-24,36.79739
2004-04-25,41.7080841
2004-04-26,-9999
2004-04-27,32.8063011
2004-04-28,31.1594162
2004-04-29,44.5856438
2004-04-30,39.5073357
2004-05-01,36.7976418
2004-05-02,38.3115845
2004-05-03,25.5651054
2004-05-04,21.2471313
2004-05-05,-9999
2004-05-06,30.9846001
2004-05-07,34.362236
2004-05-08,31.4626713
2004-05-09,40.8857193
2004-05-10,41.00383
2004-05-11,44.4154663
2004-05-12,-9999
2004-05-13,39.2607231
2004-05-14,42.315712
2004-05-15,40.3285713
2004-05-16,43.3043175
2004-05-17,41.3364601
2004-05-18,37.9020042
2004-05-19,36.7403679
2004-05-20,35.9628639
2004-05-21,-9999
2004-05-22,27.7078018
2004-05-23,25.5647926
2004-05-24,28.4805737
2004-05-25,21.9391212
2004-05-26,23.6071663
2004-05-27,24.4340343
2004-05-28,-9999
2004-05-29,44.6655769
2004-05-30,37.7660675
2004-05-31,36.7777863
2004-06-01,42.1063538
2004-06-02,38.5668182
2004-06-03,33.2959023
2004-06-04,34.3767319
2004-06-05,35.6600914
2004-06-06,-9999
2004-06-07,45.6395798
2004-06-08,39.9110756
2004-06-09,38.2578506
2004-06-10,41.7410507
2004-06-11,45.9080353
2004-06-12,48.4775124
2004-06-13,-9999
2004-06-14,47.5703964
2004-06-15,41.636734
2004-06-16,46.2385864
2004-06-17,36.4791756
2004-06-18,51.2412338
2004-06-19,45.0866356
2004-06-20,43.5223923
2004-06-21,45.2653999
2004-06-22,-9999
2004-06-23,47.7217751
2004-06-24,50.3814354
2004-06-25,42.8251343
2004-06-26,35.5496407
2004-06-27,42.1345673
2004-06-28,44.2043304
2004-06-29,-9999
2004-06-30,45.6655769
2004-07-01,43.1877747
2004-07-02,43.8663712
2004-07-03,41.9534035
2004-07-04,47.1047516
2004-07-05,47.0616684
2004-07-06,48.2876892
2004-07-07,48.8545914
2004-07-08,-9999
2004-07-09,47.5877838
2004-07-10,44.3041649
2004-07-11,36.9078827
