Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-93.6,18,-90.2,22.33"
Data Bounding Box:,"-93.5,18.5,-90.5,21.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-93.6,18,-90.2,22.33&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2004-05-16,48.2724342
2004-05-17,47.406147
2004-05-18,42.8799934
2004-05-19,-9999
2004-05-20,40.1051216
2004-05-21,36.4435234
2004-05-22,30.194706
2004-05-23,28.7463646
2004-05-24,32.5687637
2004-05-25,29.8936119
2004-05-26,27.545042
2004-05-27,35.3408623
2004-05-28,-9999
2004-05-29,44.2849846
2004-05-30,40.1123581
2004-05-31,39.7297134
2004-06-01,43.9393616
2004-06-02,41.6470718
2004-06-03,42.7006454
2004-06-04,-9999
2004-06-05,37.1676598
2004-06-06,45.6908073
2004-06-07,49.524086
2004-06-08,45.320015
2004-06-09,45.2224693
2004-06-10,43.7110901
2004-06-11,50.1779594
2004-06-12,49.4895706
2004-06-13,-9999
2004-06-14,47.0033531
2004-06-15,47.9633141
2004-06-16,43.1272316
2004-06-17,32.0751953
2004-06-18,41.3667641
2004-06-19,44.5262833
2004-06-20,-9999
2004-06-21,42.7463112
2004-06-22,-9999
2004-06-23,46.8208313
2004-06-24,45.820343
2004-06-25,40.2216797
2004-06-26,39.7354965
2004-06-27,36.7414742
2004-06-28,40.2225533
2004-06-29,-9999
2004-06-30,44.3584824
2004-07-01,37.3909454
2004-07-02,42.9536247
2004-07-03,44.8987007
2004-07-04,42.9819145
2004-07-05,47.9542465
2004-07-06,-9999
2004-07-07,47.7177963
2004-07-08,45.3205261
2004-07-09,46.8461647
2004-07-10,42.6531754
2004-07-11,35.3888626
2004-07-12,32.4858284
2004-07-13,38.9026833
2004-07-14,45.5286598
2004-07-15,-9999
2004-07-16,46.6072006
2004-07-17,47.0287399
2004-07-18,50.5374413
2004-07-19,49.1378784
2004-07-20,42.5113182
2004-07-21,40.7443352
2004-07-22,-9999
2004-07-23,47.7089005
2004-07-24,49.7380219
2004-07-25,49.3464813
2004-07-26,50.4150963
2004-07-27,46.9048767
2004-07-28,47.9725266
2004-07-29,44.924633
2004-07-30,48.7840233
2004-07-31,-9999
2004-08-01,54.7998123
2004-08-02,53.4777184
2004-08-03,45.5260925
2004-08-04,39.8109398
2004-08-05,40.7309151
2004-08-06,41.3464928
2004-08-07,-9999
2004-08-08,42.6995239
2004-08-09,49.069603
2004-08-10,47.7228661
2004-08-11,47.9840202
2004-08-12,45.1316109
2004-08-13,49.0073242
2004-08-14,47.9376984
2004-08-15,45.0498619
2004-08-16,-9999
2004-08-17,52.148922
2004-08-18,46.1994324
2004-08-19,46.8375893
2004-08-20,36.1850014
2004-08-21,43.1284409
2004-08-22,41.9601784
2004-08-23,-9999
2004-08-24,50.7936554
2004-08-25,38.0930252
2004-08-26,49.9224243
2004-08-27,43.2050018
2004-08-28,42.697567
2004-08-29,45.0047073
2004-08-30,46.5745049
2004-08-31,47.7566986
2004-09-01,-9999
2004-09-02,51.237442
2004-09-03,51.6510315
2004-09-04,52.453495
2004-09-05,50.1393242
2004-09-06,50.4167595
2004-09-07,51.3432693
2004-09-08,-9999
2004-09-09,53.3370781
2004-09-10,48.2532043
2004-09-11,54.6087494
2004-09-12,48.4847717
2004-09-13,50.8431854
2004-09-14,48.5994301
2004-09-15,44.6227837
2004-09-16,52.9250526
2004-09-17,-9999
2004-09-18,46.7205391
2004-09-19,50.644146
2004-09-20,44.5127449
2004-09-21,47.6579247
2004-09-22,49.7911606
2004-09-23,51.3164177
2004-09-24,-9999
2004-09-25,49.1467094
2004-09-26,44.1567764
2004-09-27,49.2748642
2004-09-28,47.9947395
2004-09-29,50.0348396
2004-09-30,47.783371
2004-10-01,40.4910545
2004-10-02,49.0992661
2004-10-03,-9999
2004-10-04,49.3046494
2004-10-05,48.955246
2004-10-06,52.1096153
2004-10-07,47.0216217
2004-10-08,40.7424469
2004-10-09,49.0867348
2004-10-10,-9999
2004-10-11,48.1510658
2004-10-12,42.6620636
2004-10-13,44.4759445
2004-10-14,49.6822777
2004-10-15,46.6161804
2004-10-16,50.8169403
2004-10-17,46.0378571
2004-10-18,41.450676
2004-10-19,-9999
2004-10-20,34.8380661
2004-10-21,35.319397
2004-10-22,34.8352203
2004-10-23,31.5091114
2004-10-24,30.3476696
2004-10-25,33.9791069
2004-10-26,-9999
2004-10-27,37.0863342
2004-10-28,36.030529
2004-10-29,33.8546333
2004-10-30,33.5623856
2004-10-31,33.9624748
2004-11-01,38.0246277
2004-11-02,45.5870018
2004-11-03,38.9328423
2004-11-04,-9999
2004-11-05,38.3567657
2004-11-06,22.1665325
2004-11-07,-9999
2004-11-08,19.5682774
2004-11-09,25.6139145
2004-11-10,23.2130547
2004-11-11,-9999
2004-11-12,36.7373924
2004-11-13,38.0998917
2004-11-14,28.0003719
2004-11-15,25.3698082
2004-11-16,28.0359592
2004-11-17,37.5022392
2004-11-18,24.6932144
2004-11-19,26.538702
2004-11-20,-9999
2004-11-21,23.2158756
2004-11-22,31.77211
2004-11-23,31.5289917
2004-11-24,35.1936188
2004-11-25,30.3859558
2004-11-26,37.2849655
2004-11-27,-9999
2004-11-28,36.5451202
2004-11-29,31.0188675
2004-11-30,23.3002491
2004-12-01,30.4676876
2004-12-02,25.9426918
2004-12-03,25.630846
2004-12-04,23.1909008
2004-12-05,30.2253704
2004-12-06,-9999
2004-12-07,38.4488907
2004-12-08,34.7019539
2004-12-09,34.0382309
2004-12-10,36.8229103
2004-12-11,21.725769
2004-12-12,19.5865021
2004-12-13,-9999
2004-12-14,24.0264969
2004-12-15,33.5029869
2004-12-16,34.715271
2004-12-17,34.5806427
2004-12-18,32.4699554
2004-12-19,30.5313091
2004-12-20,24.0831451
2004-12-21,31.5088997
2004-12-22,-9999
2004-12-23,36.6028175
2004-12-24,30.9285488
2004-12-25,26.5928688
2004-12-26,19.2336502
2004-12-27,19.0068722
2004-12-28,22.0658836
2004-12-29,-9999
2004-12-30,23.0457516
2004-12-31,33.3077469
2005-01-01,42.0127525
2005-01-02,31.4388618
2005-01-03,29.5130997
2005-01-04,21.1160355
2005-01-05,24.4317856
2005-01-06,29.0641422
2005-01-07,-9999
2005-01-08,29.1797333
2005-01-09,21.4575024
2005-01-10,22.739378
2005-01-11,22.2475815
2005-01-12,-9999
2005-01-13,26.3432064
2005-01-14,-9999
2005-01-15,25.8518639
2005-01-16,23.7184658
2005-01-17,22.3008766
2005-01-18,20.5814247
2005-01-19,18.1011887
2005-01-20,23.062994
2005-01-21,20.3433857
2005-01-22,24.1344013
2005-01-23,-9999
2005-01-24,28.9250965
2005-01-25,25.6225529
2005-01-26,23.7209454
2005-01-27,23.1799545
2005-01-28,24.3962936
2005-01-29,28.9993134
2005-01-30,-9999
2005-01-31,28.8331318
2005-02-01,24.773859
2005-02-02,29.8527699
2005-02-03,34.26968
2005-02-04,28.8240452
2005-02-05,28.3331413
2005-02-06,24.5146351
2005-02-07,26.8359375
2005-02-08,-9999
2005-02-09,31.2919502
2005-02-10,33.4263687
2005-02-11,27.2577667
2005-02-12,26.5765343
2005-02-13,18.0232372
2005-02-14,26.8979187
2005-02-15,-9999
2005-02-16,23.0076733
2005-02-17,34.1653214
2005-02-18,32.0546646
2005-02-19,25.6059151
