Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-97,18,-93.6,22.33"
Data Bounding Box:,"-96.5,18.5,-94.5,21.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-97,18,-93.6,22.33&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2003-06-14,44.96381
2003-06-15,43.3446121
2003-06-16,-9999
2003-06-17,51.5679054
2003-06-18,40.6236
2003-06-19,53.3823547
2003-06-20,51.8912621
2003-06-21,52.0823097
2003-06-22,47.2374535
2003-06-23,43.6263618
2003-06-24,44.0169754
2003-06-25,-9999
2003-06-26,47.8247375
2003-06-27,44.6032181
2003-06-28,49.3431206
2003-06-29,48.6327133
2003-06-30,46.4260559
2003-07-01,47.6405029
2003-07-02,-9999
2003-07-03,41.902626
2003-07-04,36.4677505
2003-07-05,40.6784782
2003-07-06,45.6680145
2003-07-07,49.6872902
2003-07-08,41.3035011
2003-07-09,42.3380966
2003-07-10,38.2261505
2003-07-11,-9999
2003-07-12,47.9299698
2003-07-13,37.9851723
2003-07-14,45.5594559
2003-07-15,50.3614731
2003-07-16,51.0708656
2003-07-17,36.3575096
2003-07-18,-9999
2003-07-19,50.2474556
2003-07-20,41.4383278
2003-07-21,46.7049522
2003-07-22,41.720417
2003-07-23,42.2137871
2003-07-24,41.533371
2003-07-25,41.947525
2003-07-26,43.9492836
2003-07-27,-9999
2003-07-28,48.8484001
2003-07-29,41.5705528
2003-07-30,43.363884
2003-07-31,48.9010773
2003-08-01,47.3195801
2003-08-02,40.2626801
2003-08-03,-9999
2003-08-04,47.4708595
2003-08-05,40.4444466
2003-08-06,45.3739891
2003-08-07,45.8906975
2003-08-08,47.3576431
2003-08-09,44.0123444
2003-08-10,46.4974861
2003-08-11,42.9992905
2003-08-12,-9999
2003-08-13,51.0780067
2003-08-14,42.8504486
2003-08-15,49.4045448
2003-08-16,43.3028717
2003-08-17,49.6173286
2003-08-18,51.0237694
